university_name,doporog_money_perc,all_money
Київський національний університет   імені Тараса Шевченка,44.1409444279002,417347542.69
"Державна установа ""Науково-практичний медичний центр дитячої кардіології та кардіохірургії Міністерства охорони здоров`я України""",10.7066901469652,364105178.21
Державна наукова установа ‘Центр інноваційних медичних технологій НАН України’,13.4009950325556,238724277.58
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,68.8192819468896,209215707.89
Національний медичний університет імені О.0. Богомольця,47.6788586793002,190267029.44
"Державна установа ""Інститут отоларингології ім. проф. О.С.Коломійченка Національної академії медичних наук України""",5.07259795242231,173366458.42
Національна академія внутрішніх справ,61.5828761871584,172607357.68
Национальний університет біоресурсів і природокористування України,67.7031427972833,151098306.76
Київський національний торговельно-економічний університет,40.2273073074545,115820938.16
Hацональний авіаційний університет,77.1895511032303,114476993.54
"Державна установа ""Інститут нейрохірургії ім.акад. А.П. Ромоданова Національної академії медичних наук України""",19.5335638249515,106189834
Національний університет оборони України імені Івана Черняховського,81.5454512313425,105077096.13
"Державна наукова установа ""Науково-практичний центр профілактичної та клінічної медицини"" Державного управління справами",30.7234042477433,74368059.17
Київський університет імені Бориса Грінченка,42.4766965744329,69667587.94
Національний університет фізичного виховання і спорту України,31.943059781346,64833420.16
Національний транспортний університет,94.06335052752,62754252.5
Національна академія Служби безпеки України,18.8430736605247,59556732.74
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",36.524047990226,57014647.05
Національний університет харчових технологій,80.5285564935014,51412212.95
"Державна установа ""Інститут педіатрії, акушерства і гінекології Національної академії медичних наук України""",49.8886811885463,49170597.75
"Державна установа ""Національний науковий центр радіаційної медицини Національної академії медичних наук України",60.0580346813653,48156411.55
Інститут надтвердих матеріалів ім. В.М. Бакуля Національної академії наук України,98.7479136993935,46578259
Національний педагогічний університет імені М.П. Драгоманова,90.4046487678089,42351654.48
Київський національний лінгвістичний університет,95.9485537708124,41118403.3
Інститут електрозварювання ім. Є.О. Патона Національної академії наук України,87.4499325133272,40857111.29
Київський національний университет технологій та дизайну,90.866013147819,38792479.75
Інститут молекулярної біології і генетики Національної академії наук України,11.5904148828579,34926461.83
"Національний університет ""Києво-Могилянська академія""",98.9006025708006,28106305.49
Державний університет інфраструктури та технологій,93.4455033518088,26611959.6
Національна медична академія післядипомної освіти імені П. Л. Шупика,68.2111952368321,25664358.54
"Державний вищий навчальний заклад ""Університет банківської справи""",82.2286711916322,23262976.25
Київський національний університет культури і мистецтв,89.4396441920439,20832631.4
Національна академія прокуратури України,67.3652148126648,20094047.08
Інститут проблем матеріалознавства ім. l.M.Францевича НАН України,97.0694567935855,20091838.22
Державний університет телекомунікацій,98.1466987641039,19921208.32
"Державна установа ""Інститут нефрології Національної академії медичних наук України""",19.6130156451293,18471500.23
Київська муніципальна академія музики ім. Р.М. Глієра,43.1251673089151,15845539.36
"Державна Установа ""Інститут %ендокринології та обміну речовин ім. В. П. Комісаренка Національної академії медичних наук України """,36.7397595257653,15674932.51
Інститут педагогіки Національної академії педагогічних наук України,17.608465280165,15630276.78
"Муніципальний заклад вищої освіти ""Київська Академія мистецтв""",15.6442725078921,14784466.64
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",48.137302674414,13945090.35
Інститут біохімії ім. О.В.Палладіна Національної академії наук України,97.007658962507,13715014.26
Інститут фізики напівпровідників імені В.Є.Лашкарьова Національної академії наук України,79.4123843268029,13226398.06
Інститут металофізики ім.Г.В.Курдюмова Національної академії наук України,98.7430259357022,11217415.22
Національна академия образотв0рчого мистецтва і архитиктури,100,9078191.55
Інститут фізіології ім. О.О. Богомольця Національної академії наук України,91.2927488004037,8739842.03
Інститут мікробіології і вірусології ім. Д.К. Заболотного Національної академії наук України,80.8915272928466,8420976.52
Національний інститут стратегічних досліджень,94.1302039540051,8254119.84
Інститут підготовки кадрів державної служби зайнятості України,81.0212457982674,8229328.35
Інститут кібернетики імені В.М.Глушкова Національної академії наук України,84.5125893286293,7893943.19
Інститут фізичної хімії ім. Л.В. Писаржевського Національної академії наук України,85.378542004169,7523189.55
Інститут фізіології рослин і генетики Національної Академії Наук України,78.6545884082083,7495756.14
"Інститут експериментальної патології, онкології і радіобіології ім. Р. Є. Кавецького Національної академії наук України",63.8357158697571,7208769.82
Таврійський національний університет імені В.І.Вернадського,98.4196759469016,6992236.8
Інститут проблем міцності імені Г.С. Писаренка Національної академії наук України,73.5625056035331,6971159.87
Київська муніципальна академія естрадного та циркового мистецтв,37.8711131635785,6917939.06
Національна музична академія України імени П.І. Чайковського,53.754622847814,6870224
Інститут біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,100,6407218.35
Інститут проблем математич них машин і систем Национальної академії наук України,92.0376394359655,6334804.81
"Інститут геохімії, мінералогії та рудоутворення імені М.П. Семененка НАН України",38.7679925718123,6173242
Військовий інститут телекомунікацій та інформатизації,49.7264528958256,6099722.77
Інститут ботаніки ім. М.Г. Холодного Національної академії наук України,100,6007253.65
Інститут теоретичної фізики ім. М.М. Боголюбова Національної академії наук України,66.0000761169513,5888307.3
Інститут історії України Національної академії наук України,100,5875874.51
Інститут водних проблем і меліорації Національної академії аграрних наук України,100,5621515.79
Інститут гідробіології Національної академії наук України,86.1573301464884,5490270.36
Воєнно-дипломатина академія імені Євгенія Березняка,81.9898853196833,5274314
Фізико-технологічний інститут металів та сплавів Національної академії наук України,100,4598191.81
Київський технікум електронних приладів,84.8155910562137,4470144.36
"Державна установа ""Науково-дослідний інститут психіатрії Міністерства охорони здоров`я України""",9.99203056572733,3902410
Інститут захисту рослин Національної академії аграрних наук України,100,3756898.87
Нацiональна академія керівних кадрів культури і мистецтв,53.1232361527381,3623117
"Державна установа ""Інститут харчової біотехнології та геноміки Національної академії наук України""",57.8190653702043,3556108.97
Український гідрометеорологічний інститут Державної служби України з надсвичайних ситуацій та Національної академії наук України,94.5716347858716,3125802.95
"Державний вищий навчальний заклад ""Університет менеджменту освіти""",100,2935000.83
Інститут демографії та соціальних досліджень імені М.В. Птухи Національної академії наук України,100,2921419.21
Інститут зоології ім. І . 1.Шмальгаузена Національної академії наук України,70.8353388009131,2727959
Міжнародний науково-навчальний центр інформаційних технологій та систем НАН України та МОН України,100,2720000.84
Інститут проблем моделювання в енергетиці ім. Г.Є. Пухова Національної академії наук України,100,2691385.32
Інститут хімії високомолекулярних сполук Національної академії наук України,100,2620270.98
Інститут державного управління у сфері цивільного захисту,65.1461797425693,2476945.12
Інститут програмних систем Національної академії наук України,100,2177715.32
Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука,100,2138194.16
"Національний науковий центр  ""Інститут аграрної економіки""",81.4731317172393,2045677.63
Інститут клітинної біології та генетичної інженерії Національної академії наук України,100,1973740.54
"Державна установа ""Інститут громадського здоров'я ім. О. М. Марзєєва Національної академії мидичних наук України»",100,1700000
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",100,1696406.21
Інститут геологічних наук Національної академії наук України,33.1119593709213,1637063.95
Інститут рибного господарства Національної академії аграрних наук України,100,1400000
Інститут спеціальної педагогіки і психології імені Миколи Ярмаченка національної академії педагогічних наук України,100,1171452.21
"Державна установа ""Інститут геохімії навколишнього середовища Національної академії наук України""",100,1126116.72
Інститут філософії імені Г. С. Сковороди Національної академії наук України,100,1077269.5
"Державна установа ""Інститут всесвітньої історії Національної академії наук України""",100,1025843.64
Інститут математики Національної академії наук України,100,720000
Наукова установа Інститут професійно-теxнічної освіти Національної академії педагогічних наук України,100,595189.32
Науково_дослідний інститут українознавства,100,523000
Інститут пcихології імені Г.С.Костюка Національної академії педагогічних наук України,100,270300
Інститут інформаційних технологій і засобів навчання Національної академії педагогічних наук України,100,204194.6
Інститут обдарованої дитини Національної академії педагогічних наук України,100,188000
Інститут Управління державної охорони України Київського національного університету імені Тараса Шевченка,100,179173
Інститут педагогічної освіти і освіти дорослих імені Івана Зязюна Національної академії педагогічних наук України,100,125200
Інститут літератури ім. Т.Г. Шевченкa Національної академії наук України,0,0
"Державна установа ""Інститут економіки природокористування та сталого розвитку Національної академії наук України""",0,0
"Державний навчально-науковий заклад післядипломної освіти ""Дипломатична академія України імені Геннадія Удовенка при Міністерстві закордонних справ України""",0,0
"Державна наукова установа ""Київський академічний університет""",0,0
Державний науково-дослідний інститут інформатизації та моделювання економіки,0,0
Інститут вищої освіти Національної академії педагогічних наук України,0,0
Український інститут розвитку фондового ринку,0,0
Інститут держави і права ім. В.М.Корецького Національної академії наук України,0,0
Інститут економіко-правових досліджень Національної академії наук України,0,0
Інститут загальної енергетики Національної академії наук України,0,0
Центр гуманітарної освіти Національної академії наук України,0,0
"Державна установа ""Науковий центр аерокосмічних досліджень Землі lнституту геологічних наук Національної академії наук України",0,0
Київський навчально-науковий центр Одеської національної академії зв`язку ім. О.С. Попова,0,0
"Інститут мистецтвознавства, фольклористики та етнології ім. М. Т. Рильського НАН України",0,0
Науково-дослідний інститут інформатики і права Національної академії правових наук України),0,0
Київський авіаційний технікум,0,0
Інститут управління і права Національного юридичного університету імені Ярослава Мудрого,0,0
Київський університет права Національної академії наук України,0,0
Київський факультет Національної академії Національної гвардії України,0,0
Луганська державна академія культури і мистецтв,0,0
Науково-дослідний інститут інтелектуальної власності Національної академії правових наук України,0,0
Науково-дослідний інститут приватного права і підприємництва імені академіка Ф.Г. Бурчака Національної академії правових наук України,0,0
Національна наукова сільськогосподарська бібліотека Національної академії аграрних наук України  ,0,0
Інститут соціальної та політичної психології Національної академії педагогічних наук України,0,0
Інститут проблем сучасного мистецтва Національної академії мистецтва України,0,0
Інститут проблем виховання Національної академії педагогічних наук України,0,0
"Національна академія статистики, обліку та аудиту",0,0
Київський навчально-консультаційний пункт Національного університету кораблебудування імені адмірала Макарова,0,0
Інститут мовознавства ім. О.О.Потебні Національної академії наук України,0,0
Центр наукових досліджень та викладання іноземних мов Національної академії наук України,0,0
,0,0
